duration_s,end_s,output_file,source_file,start_s
2.5496,3.7496,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_002_0008149_0011899.wav,1.2
2.8,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_004_0015849_0019849_0001200_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_004_0015849_0019849.wav,1.2
2.7,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_006_0022948_0026948_0001300_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_006_0022948_0026948.wav,1.3
1.8561,2.8561,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_007_0026698_0029748_0001000_0002856.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_007_0026698_0029748.wav,1.0
0.8,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_008_0030298_0034298_0003200_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_008_0030298_0034298.wav,3.2
3.0,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_009_0034048_0038048_0001000_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_009_0034048_0038048.wav,1.0
2.0883,3.0883,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_010_0037798_0041798_0001000_0003088.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_010_0037798_0041798.wav,1.0
2.8,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_012_0043247_0047247_0001200_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_012_0043247_0047247.wav,1.2
1.1,2.1,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_013_0046997_0050997_0001000_0002100.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_013_0046997_0050997.wav,1.0
3.0,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_017_0061997_0065997_0001000_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_017_0061997_0065997.wav,1.0
3.0,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_018_0065747_0069747_0001000_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_018_0065747_0069747.wav,1.0
3.0,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_019_0069497_0073497_0001000_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_019_0069497_0073497.wav,1.0
3.0,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_020_0073247_0077247_0001000_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_020_0073247_0077247.wav,1.0
3.0,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_021_0076997_0080997_0001000_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_021_0076997_0080997.wav,1.0
3.0,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_022_0080747_0084747_0001000_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_022_0080747_0084747.wav,1.0
2.4,3.4,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_023_0084497_0088497_0001000_0003400.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_023_0084497_0088497.wav,1.0
0.9,4.0,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_025_0091997_0095997_0003100_0004000.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_025_0091997_0095997.wav,3.1
1.93,2.93,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_032_0114992_0118992_0001000_0002930.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_032_0114992_0118992.wav,1.0
1.7,2.7,output/manual_review/clean_drone_sections/DJI_drones_noise_comparson_seg_035_0126242_0130191_0001000_0002700.wav,output/clean_drone_segments/DJI_drones_noise_comparson_seg_035_0126242_0130191.wav,1.0
