background_group,background_path,background_sha1,original_path
engine_idling_engine,output_v3/background_pool/engine_idling_fold5_17578_7.wav,0724627b508bfe2fac1bb26462d3d5e3dd612b54,backgrounds/urbansound8k/engine_idling/engine_idling_fold5_17578_7.wav
engine_idling_engine,output_v3/background_pool/engine_idling_fold4_144007_13.wav,a922e91a126a062626a70c3f068692eda172c2ab,backgrounds/urbansound8k/engine_idling/engine_idling_fold4_144007_13.wav
air_conditioner_air,output_v3/background_pool/air_conditioner_fold9_101729_11.wav,7e6e138cb565b68dbefc57f9c29b56884a708c6a,backgrounds/urbansound8k/air_conditioner/air_conditioner_fold9_101729_11.wav
air_conditioner_air,output_v3/background_pool/air_conditioner_fold9_75743_13.wav,9bd4933e39f3f8f93d2e082f679e8609140a3ef2,backgrounds/urbansound8k/air_conditioner/air_conditioner_fold9_75743_13.wav
siren_siren,output_v3/background_pool/siren_fold1_118279_6.wav,be9d4b8b8afd889a9dd2b0da713a07a9344885b6,backgrounds/urbansound8k/siren/siren_fold1_118279_6.wav
air_conditioner_air,output_v3/background_pool/air_conditioner_fold9_165454_8.wav,83198901b5d7292fc92757285a4e3c605ff36cce,backgrounds/urbansound8k/air_conditioner/air_conditioner_fold9_165454_8.wav
drilling_drilling,output_v3/background_pool/drilling_fold2_76086_36.wav,3fd1faa6887fc5d465ca725a5fc8a638c33734e6,backgrounds/urbansound8k/drilling/drilling_fold2_76086_36.wav
engine_idling_engine,output_v3/background_pool/engine_idling_fold3_17853_2.wav,dd32ec6ceed9abc5559be8355e4d0b013d308b16,backgrounds/urbansound8k/engine_idling/engine_idling_fold3_17853_2.wav
drilling_drilling,output_v3/background_pool/drilling_fold10_180127_17.wav,750bfada3fbc60576c753f472b8e18545b1bdd21,backgrounds/urbansound8k/drilling/drilling_fold10_180127_17.wav
engine_idling_engine,output_v3/background_pool/engine_idling_fold1_113205_4.wav,e77d48c8ec518d47e4ac497018286dbd23405c8d,backgrounds/urbansound8k/engine_idling/engine_idling_fold1_113205_4.wav
air_conditioner_air,output_v3/background_pool/air_conditioner_fold5_100852_24.wav,3b6e9f4a1a9b83c87839acbb327f5cc5f5a2a278,backgrounds/urbansound8k/air_conditioner/air_conditioner_fold5_100852_24.wav
air_conditioner_air,output_v3/background_pool/air_conditioner_fold9_101729_23.wav,83317580f01ad6ae16e5516ff9f862acb37531d2,backgrounds/urbansound8k/air_conditioner/air_conditioner_fold9_101729_23.wav
air_conditioner_air,output_v3/background_pool/air_conditioner_fold1_57320_13.wav,deb02f9d66ad7a7c8ea0484f65a621bbc9a5b513,backgrounds/urbansound8k/air_conditioner/air_conditioner_fold1_57320_13.wav
drilling_drilling,output_v3/background_pool/drilling_fold10_99192_28.wav,b5a2c66949ca9294b358897c3d9bd4b31ccd65fc,backgrounds/urbansound8k/drilling/drilling_fold10_99192_28.wav
siren_siren,output_v3/background_pool/siren_fold8_157868_12.wav,f132c016e138274cef5579f98918ef9969db77ae,backgrounds/urbansound8k/siren/siren_fold8_157868_12.wav
air_conditioner_air,output_v3/background_pool/air_conditioner_fold7_177729_83.wav,9abb21db91d5b1a345c3a99e070ae53b05f0328c,backgrounds/urbansound8k/air_conditioner/air_conditioner_fold7_177729_83.wav
engine_idling_engine,output_v3/background_pool/engine_idling_fold1_146186_6.wav,63caca33c2b0a5021026e436c9c432d05555e2e8,backgrounds/urbansound8k/engine_idling/engine_idling_fold1_146186_6.wav
drilling_drilling,output_v3/background_pool/drilling_fold6_71079_0.wav,1781e00ee8653b54d7bb32e100852f8e976f4538,backgrounds/urbansound8k/drilling/drilling_fold6_71079_0.wav
jackhammer_jackhammer,output_v3/background_pool/jackhammer_fold9_188823_3.wav,0cdbb7e6afb295c3d2761da1d1100e684c1d1ad7,backgrounds/urbansound8k/jackhammer/jackhammer_fold9_188823_3.wav
engine_idling_engine,output_v3/background_pool/engine_idling_fold2_94710_1.wav,2cc75d099f132d4a0b487c35cf53a62adbba1603,backgrounds/urbansound8k/engine_idling/engine_idling_fold2_94710_1.wav
drilling_drilling,output_v3/background_pool/drilling_fold6_58005_24.wav,13f5959b16fd4350de0c182dae2374c78fa5a142,backgrounds/urbansound8k/drilling/drilling_fold6_58005_24.wav
engine_idling_engine,output_v3/background_pool/engine_idling_fold4_154758_0.wav,b528bc2fa28823d0d5f49d10cef5302401591ffe,backgrounds/urbansound8k/engine_idling/engine_idling_fold4_154758_0.wav
drilling_drilling,output_v3/background_pool/drilling_fold2_59594_2.wav,affd01fb889ba88b80dfedf2212b4af7a07dc8ae,backgrounds/urbansound8k/drilling/drilling_fold2_59594_2.wav
drilling_drilling,output_v3/background_pool/drilling_fold8_205610_0.wav,8801b40b67057c31a1c3f4588b9756ce7253ddab,backgrounds/urbansound8k/drilling/drilling_fold8_205610_0.wav
