lat,lon,elevation,time,speed,source
47.608921,19.147654,158.44,2025-10-20 12:47:21.056000+00:00,,20251020-001.gpx
47.6089273,19.1476481,158.43,2025-10-20 12:47:21.260000+00:00,,20251020-001.gpx
47.6089334,19.1476422,158.43,2025-10-20 12:47:21.460000+00:00,,20251020-001.gpx
47.6089395,19.1476362,158.42,2025-10-20 12:47:21.663000+00:00,,20251020-001.gpx
47.6089455,19.14763,158.41,2025-10-20 12:47:21.865000+00:00,,20251020-001.gpx
47.6089513,19.1476238,158.41,2025-10-20 12:47:22.066000+00:00,,20251020-001.gpx
47.6089572,19.1476172,158.41,2025-10-20 12:47:22.271000+00:00,,20251020-001.gpx
47.6089628,19.1476109,158.4,2025-10-20 12:47:22.472000+00:00,,20251020-001.gpx
47.6089681,19.1476047,158.4,2025-10-20 12:47:22.673000+00:00,,20251020-001.gpx
47.6089721,19.1475998,158.39,2025-10-20 12:47:22.854000+00:00,,20251020-001.gpx
47.6089755,19.1475955,158.38,2025-10-20 12:47:23.055000+00:00,,20251020-001.gpx
47.6089775,19.1475924,158.38,2025-10-20 12:47:23.279000+00:00,,20251020-001.gpx
47.6089783,19.1475909,158.38,2025-10-20 12:47:23.479000+00:00,,20251020-001.gpx
47.6089782,19.1475903,158.38,2025-10-20 12:47:23.680000+00:00,,20251020-001.gpx
47.6089775,19.1475905,158.38,2025-10-20 12:47:23.882000+00:00,,20251020-001.gpx
47.6089763,19.1475912,158.38,2025-10-20 12:47:24.084000+00:00,,20251020-001.gpx
47.6089747,19.1475924,158.38,2025-10-20 12:47:24.279000+00:00,,20251020-001.gpx
47.6089729,19.1475938,158.37,2025-10-20 12:47:24.485000+00:00,,20251020-001.gpx
47.6089708,19.1475954,158.38,2025-10-20 12:47:24.687000+00:00,,20251020-001.gpx
47.6089684,19.1475966,158.39,2025-10-20 12:47:24.888000+00:00,,20251020-001.gpx
47.6089658,19.1475969,158.39,2025-10-20 12:47:25.068000+00:00,,20251020-001.gpx
47.6089618,19.1475959,158.38,2025-10-20 12:47:25.294000+00:00,,20251020-001.gpx
47.6089575,19.1475935,158.37,2025-10-20 12:47:25.497000+00:00,,20251020-001.gpx
47.6089526,19.1475894,158.37,2025-10-20 12:47:25.699000+00:00,,20251020-001.gpx
47.6089472,19.1475838,158.38,2025-10-20 12:47:25.900000+00:00,,20251020-001.gpx
47.6089416,19.1475772,158.38,2025-10-20 12:47:26.101000+00:00,,20251020-001.gpx
47.6089359,19.1475698,158.39,2025-10-20 12:47:26.305000+00:00,,20251020-001.gpx
47.6089299,19.1475614,158.4,2025-10-20 12:47:26.508000+00:00,,20251020-001.gpx
47.6089244,19.147553,158.4,2025-10-20 12:47:26.688000+00:00,,20251020-001.gpx
47.6089176,19.1475422,158.4,2025-10-20 12:47:26.909000+00:00,,20251020-001.gpx
47.6089114,19.1475319,158.41,2025-10-20 12:47:27.110000+00:00,,20251020-001.gpx
47.6089055,19.1475219,158.42,2025-10-20 12:47:27.302000+00:00,,20251020-001.gpx
47.6088994,19.1475113,158.42,2025-10-20 12:47:27.503000+00:00,,20251020-001.gpx
47.6088929,19.1474995,158.43,2025-10-20 12:47:27.723000+00:00,,20251020-001.gpx
47.6088878,19.1474897,158.43,2025-10-20 12:47:27.904000+00:00,,20251020-001.gpx
47.6088823,19.1474788,158.43,2025-10-20 12:47:28.105000+00:00,,20251020-001.gpx
47.6088765,19.1474671,158.43,2025-10-20 12:47:28.315000+00:00,,20251020-001.gpx
47.6088729,19.1474595,158.43,2025-10-20 12:47:28.455000+00:00,,20251020-001.gpx
47.6088667,19.1474466,158.44,2025-10-20 12:47:28.696000+00:00,,20251020-001.gpx
47.6088622,19.147437,158.44,2025-10-20 12:47:28.875000+00:00,,20251020-001.gpx
47.6088565,19.1474249,158.43,2025-10-20 12:47:29.116000+00:00,,20251020-001.gpx
