time_s,bpf_hz,rpm,bpf_hz_smooth,rpm_smooth
0.0,58.59375,1171.875,58.59375,1171.875
0.128,58.59375,1171.875,58.59375,1171.875
0.256,56.640625,1132.8125,58.59375,1171.875
0.384,64.453125,1289.0625,58.59375,1171.875
0.512,64.453125,1289.0625,56.640625,1132.8125
0.64,54.6875,1093.75,54.6875,1093.75
0.768,54.6875,1093.75,54.6875,1093.75
0.8959999999999999,54.6875,1093.75,54.6875,1093.75
1.024,52.734375,1054.6875,54.6875,1093.75
1.152,50.78125,1015.625,54.6875,1093.75
1.28,56.640625,1132.8125,56.640625,1132.8125
1.408,56.640625,1132.8125,56.640625,1132.8125
1.536,64.453125,1289.0625,64.453125,1289.0625
1.664,64.453125,1289.0625,64.453125,1289.0625
1.792,64.453125,1289.0625,64.453125,1289.0625
1.9200000000000002,64.453125,1289.0625,64.453125,1289.0625
2.048,64.453125,1289.0625,64.453125,1289.0625
2.176,62.5,1250.0,62.5,1250.0
2.3040000000000003,56.640625,1132.8125,56.640625,1132.8125
2.4320000000000004,50.78125,1015.625,54.6875,1093.75
2.5599999999999996,54.6875,1093.75,54.6875,1093.75
2.6879999999999997,54.6875,1093.75,54.6875,1093.75
2.816,54.6875,1093.75,54.6875,1093.75
2.944,54.6875,1093.75,54.6875,1093.75
3.072,54.6875,1093.75,54.6875,1093.75
3.2,54.6875,1093.75,54.6875,1093.75
3.3280000000000003,54.6875,1093.75,54.6875,1093.75
3.4560000000000004,54.6875,1093.75,54.6875,1093.75
3.5839999999999996,54.6875,1093.75,54.6875,1093.75
3.7119999999999997,54.6875,1093.75,54.6875,1093.75
3.84,50.78125,1015.625,54.6875,1093.75
3.968,64.453125,1289.0625,54.6875,1093.75
4.096,64.453125,1289.0625,54.6875,1093.75
4.224,54.6875,1093.75,64.453125,1289.0625
4.351999999999999,54.6875,1093.75,64.453125,1289.0625
4.4799999999999995,64.453125,1289.0625,64.453125,1289.0625
4.608,64.453125,1289.0625,64.453125,1289.0625
4.736,64.453125,1289.0625,64.453125,1289.0625
4.864,64.453125,1289.0625,64.453125,1289.0625
4.992,66.40625,1328.125,64.453125,1289.0625
5.12,64.453125,1289.0625,64.453125,1289.0625
5.247999999999999,56.640625,1132.8125,56.640625,1132.8125
5.3759999999999994,56.640625,1132.8125,56.640625,1132.8125
5.504,56.640625,1132.8125,56.640625,1132.8125
5.632,56.640625,1132.8125,56.640625,1132.8125
5.76,56.640625,1132.8125,56.640625,1132.8125
5.888,62.5,1250.0,56.640625,1132.8125
6.016,56.640625,1132.8125,56.640625,1132.8125
6.144,54.6875,1093.75,56.640625,1132.8125
6.271999999999999,56.640625,1132.8125,56.640625,1132.8125
6.3999999999999995,56.640625,1132.8125,56.640625,1132.8125
6.528,56.640625,1132.8125,56.640625,1132.8125
6.656,56.640625,1132.8125,56.640625,1132.8125
6.784,52.734375,1054.6875,56.640625,1132.8125
6.912,52.734375,1054.6875,56.640625,1132.8125
7.04,56.640625,1132.8125,56.640625,1132.8125
7.168,56.640625,1132.8125,56.640625,1132.8125
7.295999999999999,56.640625,1132.8125,56.640625,1132.8125
7.4239999999999995,56.640625,1132.8125,56.640625,1132.8125
7.552,54.6875,1093.75,56.640625,1132.8125
7.68,54.6875,1093.75,56.640625,1132.8125
7.808,66.40625,1328.125,64.453125,1289.0625
7.936,66.40625,1328.125,64.453125,1289.0625
8.064,66.40625,1328.125,64.453125,1289.0625
8.192,64.453125,1289.0625,64.453125,1289.0625
8.32,64.453125,1289.0625,64.453125,1289.0625
8.448,62.5,1250.0,62.5,1250.0
8.576,58.59375,1171.875,58.59375,1171.875
8.704,52.734375,1054.6875,54.6875,1093.75
8.831999999999999,52.734375,1054.6875,54.6875,1093.75
8.959999999999999,54.6875,1093.75,54.6875,1093.75
9.088,54.6875,1093.75,54.6875,1093.75
9.216,62.5,1250.0,54.6875,1093.75
9.344,54.6875,1093.75,54.6875,1093.75
9.472,54.6875,1093.75,58.59375,1171.875
9.6,66.40625,1328.125,62.5,1250.0
9.728,62.5,1250.0,62.5,1250.0
9.856,58.59375,1171.875,66.40625,1328.125
9.984,66.40625,1328.125,66.40625,1328.125
10.112,66.40625,1328.125,66.40625,1328.125
10.24,66.40625,1328.125,66.40625,1328.125
10.368,58.59375,1171.875,66.40625,1328.125
10.496,66.40625,1328.125,66.40625,1328.125
10.624,54.6875,1093.75,58.59375,1171.875
10.751999999999999,54.6875,1093.75,56.640625,1132.8125
