id,session,split,n_drones,drones,maneuver_type,flight_phase,description,altitude_m,speed_mps,radius_m,start_coord,end_coord,duration_s,within_session_offset_s,local_start_s,local_start_hms,local_end_hms,smpte_start_s,utc_start_s,utc_start_hms,onset_from_rec_s,azimuth_deg_onset,distance_xy_m_onset,distance_3d_m_onset,mems_available,quality_flags,gpx_folder
0,show_1,val,1,"[""drone78""]",survey,survey,Range-corner survey at 10 m,10,,,,,120,0,48960,13:36:00,13:38:00,48960,41760,11:36:00,0,,,,False,"[""pre_measurement""]",DRON-GPX/bySHOW/Show01/
1,show_1,val,1,"[""drone78""]",hover,hover,"Hover at 10 m, 1 min",10,0.0,,"[0, 0, 10]","[0, 0, 10]",60,123,49083,13:38:03,13:39:03,49083,41883,11:38:03,123,0.0,0.0,10.0,False,[],DRON-GPX/bySHOW/Show01/
2,show_1,val,1,"[""drone78""]",hover,hover,"Hover at 20 m, 1 min",20,0.0,,"[0, 0, 20]","[0, 0, 20]",60,186,49146,13:39:06,13:40:06,49146,41946,11:39:06,186,0.0,0.0,20.0,False,[],DRON-GPX/bySHOW/Show01/
3,show_1,val,1,"[""drone78""]",hover,hover,"Hover at 30 m, 1 min",30,0.0,,"[0, 0, 30]","[0, 0, 30]",60,249,49209,13:40:09,13:41:09,49209,42009,11:40:09,249,0.0,0.0,30.0,False,[],DRON-GPX/bySHOW/Show01/
4,show_1,val,1,"[""drone78""]",hover,hover,"Hover at 40 m, 1 min",40,0.0,,"[0, 0, 40]","[0, 0, 40]",60,312,49272,13:41:12,13:42:12,49272,42072,11:41:12,312,0.0,0.0,40.0,False,"[""gain_increased_to_60dB_at_t376s_from_rec_start""]",DRON-GPX/bySHOW/Show01/
5,show_2,val,1,"[""drone78""]",hover,hover_yaw_ccw,"CCW yaw rotation at 20 m, 1 min (NOT executed)",20,0.0,,"[0, 0, 20]","[0, 0, 20]",60,0,49800,13:50:00,13:51:00,49800,42600,11:50:00,840,0.0,0.0,20.0,False,"[""yaw_not_executed"", ""effectively_hover""]",DRON-GPX/bySHOW/Show02/
6,show_2,val,1,"[""drone78""]",hover,hover_yaw_cw,"CW yaw rotation at 20 m, 1 min (NOT executed)",20,0.0,,"[0, 0, 20]","[0, 0, 20]",60,63,49863,13:51:03,13:52:03,49863,42663,11:51:03,903,0.0,0.0,20.0,False,"[""yaw_not_executed"", ""effectively_hover""]",DRON-GPX/bySHOW/Show02/
7,show_2,train,1,"[""drone78""]",transit,transit_linear,"Linear transit at 20 m, 4 m/s (back-and-forth along Y axis)",20,4.0,,"[-60, 0, 20]","[60, 0, 20]",30,126,49926,13:52:06,13:52:36,49926,42726,11:52:06,966,180.0,60.0,63.2,False,[],DRON-GPX/bySHOW/Show02/
8,show_2,train,1,"[""drone78""]",transit,transit_linear,"Linear transit at 20 m, 8 m/s (back-and-forth along Y axis)",20,8.0,,"[-60, 0, 20]","[60, 0, 20]",15,159,49959,13:52:39,13:52:54,49959,42759,11:52:39,999,180.0,60.0,63.2,False,[],DRON-GPX/bySHOW/Show02/
10,show_2,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal at 20 m, 4 m/s × 2 (SW↔NE)",20,4.0,,"[-60, -60, 20]","[60, 60, 20]",66,177,49977,13:52:57,13:54:03,49977,42777,11:52:57,1017,-135.0,84.9,87.2,False,[],DRON-GPX/bySHOW/Show02/
