id,session,split,n_drones,drones,maneuver_type,flight_phase,description,altitude_m,speed_mps,radius_m,start_coord,end_coord,duration_s,within_session_offset_s,local_start_s,smpte_start_s,utc_start_s,onset_from_rec_s,azimuth_deg_onset,distance_m_onset,mems_available,quality_flags,gpx_folder
0,show_1,train,1,"[""drone78""]",transit,transit_linear,Range corners survey,10,,,,,600,0,48960,48960,41760,0,,,False,"[""pre_measurement"", ""gain_change_at_s600""]",DRON-GPX/bySHOW/Show01/
1,show_2,val,1,"[""drone78""]",hover,hover,"Hover 10 m, 1 min",10,0.0,,"[0, 0, 10]","[0, 0, 10]",60,0,49800,49800,42600,840,0.0,0.0,False,[],DRON-GPX/bySHOW/Show02/
2,show_2,val,1,"[""drone78""]",hover,hover,"Hover 20 m, 1 min",20,0.0,,"[0, 0, 20]","[0, 0, 20]",60,63,49863,49863,42663,903,0.0,0.0,False,[],DRON-GPX/bySHOW/Show02/
3,show_2,val,1,"[""drone78""]",hover,hover,"Hover 30 m, 1 min",30,0.0,,"[0, 0, 30]","[0, 0, 30]",60,126,49926,49926,42726,966,0.0,0.0,False,[],DRON-GPX/bySHOW/Show02/
4,show_2,val,1,"[""drone78""]",hover,hover,"Hover 40 m, 1 min",40,0.0,,"[0, 0, 40]","[0, 0, 40]",60,189,49989,49989,42789,1029,0.0,0.0,False,"[""gain_60dB""]",DRON-GPX/bySHOW/Show02/
5,show_2,val,1,"[""drone78""]",hover,hover,"CCW yaw rotation 20 m, 1 min",20,0.0,,"[0, 0, 20]","[0, 0, 20]",60,252,50052,50052,42852,1092,0.0,0.0,False,"[""yaw_not_executed""]",DRON-GPX/bySHOW/Show02/
6,show_2,val,1,"[""drone78""]",hover,hover,"CW yaw rotation 20 m, 1 min",20,0.0,,"[0, 0, 20]","[0, 0, 20]",60,315,50115,50115,42915,1155,0.0,0.0,False,"[""yaw_not_executed""]",DRON-GPX/bySHOW/Show02/
7,show_2,train,1,"[""drone78""]",transit,transit_linear,"Linear transit 20 m, 4 m/s",20,4.0,,"[-60, 0, 20]","[60, 0, 20]",30,378,50178,50178,42978,1218,180.0,60.0,False,[],DRON-GPX/bySHOW/Show02/
8,show_2,train,1,"[""drone78""]",transit,transit_linear,"Linear transit 20 m, 8 m/s",20,8.0,,"[-60, 0, 20]","[60, 0, 20]",15,411,50211,50211,43011,1251,180.0,60.0,False,[],DRON-GPX/bySHOW/Show02/
10,show_2,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal 20 m, 4 m/s × 2",20,4.0,,"[-60, -60, 20]","[60, 60, 20]",66,429,50229,50229,43029,1269,-135.0,84.9,False,[],DRON-GPX/bySHOW/Show02/
11,show_2,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal 20 m, 8 m/s × 2",20,8.0,,"[-60, -60, 20]","[60, 60, 20]",33,498,50298,50298,43098,1338,-135.0,84.9,False,[],DRON-GPX/bySHOW/Show02/
13,show_5,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal 60 m, 4 m/s × 2",60,4.0,,"[-60, -60, 60]","[60, 60, 60]",66,0,50880,50880,43680,1920,-135.0,84.9,True,"[""mems_starts_during_show5"", ""show5_log_timestamps_unreliable""]",DRON-GPX/bySHOW/Show05/
14,show_5,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal 60 m, 8 m/s × 2",60,8.0,,"[-60, -60, 60]","[60, 60, 60]",33,69,50949,50949,43749,1989,-135.0,84.9,True,"[""show5_log_timestamps_unreliable""]",DRON-GPX/bySHOW/Show05/
16,show_7,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal 120 m, 4 m/s × 2",120,4.0,,"[-60, -60, 120]","[60, 60, 120]",66,0,51840,51840,44640,2880,-135.0,84.9,True,[],DRON-GPX/bySHOW/Show07/
17,show_7,train,1,"[""drone78""]",diagonal,transit_diagonal,"Square diagonal 120 m, 8 m/s × 2",120,8.0,,"[-60, -60, 120]","[60, 60, 120]",33,69,51909,51909,44709,2949,-135.0,84.9,True,[],DRON-GPX/bySHOW/Show07/
18,show_8,train,1,"[""drone88""]",circle,orbit,"Circle r=5 m, 20 m, 4 m/s × 2",20,4.0,5.0,"[-2.5, 0, 20]",,16,0,52860,52860,45660,3900,180.0,2.5,True,"[""uncertain_start_radius""]",DRON-GPX/bySHOW/Show08/
19,show_8,train,1,"[""drone88""]",circle,orbit,"Circle r=30 m, 20 m, 4 m/s × 2",20,4.0,30.0,"[-15, 0, 20]",,94,19,52879,52879,45679,3919,180.0,15.0,True,[],DRON-GPX/bySHOW/Show08/
20,show_8,train,1,"[""drone88""]",circle,orbit,"Circle r=60 m, 20 m, 4 m/s × 2",20,4.0,60.0,"[-30, 0, 20]",,188,116,52976,52976,45776,4016,180.0,30.0,True,[],DRON-GPX/bySHOW/Show08/
21,show_8,train,1,"[""drone88""]",circle,orbit,"Figure-8 at 20 m, 4 m/s × 2",20,4.0,,,,63,307,53167,53167,45967,4207,,,True,"[""approx_120m_span""]",DRON-GPX/bySHOW/Show08/
22,show_9,train,1,"[""drone130""]",diagonal,transit_diagonal,"Cube diagonal A: (-60,-60,0)→(60,60,120), 4 m/s",60,4.0,,"[-60, -60, 0]","[60, 60, 120]",69,0,53820,53820,46620,4860,-135.0,84.9,True,"[""start_z_approx_5m_not_0""]",DRON-GPX/bySHOW/Show09/
