epoch,tr_loss,tr_acc,val_acc,val_f1,val_thr,val_auprc
1,0.045124,83.466,90.65,0.944844,0.655,0.98802
2,0.021092,94.812,89.024,0.937063,0.74,0.983799
3,0.01462,96.066,93.496,0.961722,0.285,0.99235
4,0.022484,94.473,97.954,0.948941,0.91,0.984598
5,0.015511,97.849,97.355,0.938156,0.235,0.985662
6,0.015505,97.819,97.006,0.930394,0.23,0.981142
7,0.013866,98.422,97.804,0.946341,0.905,0.989157
8,0.011992,98.473,98.453,0.962785,0.945,0.994809
9,0.008582,98.955,98.303,0.958128,0.83,0.984859
10,0.00819,99.005,98.353,0.96,0.86,0.987498
11,0.005576,99.136,98.703,0.968447,0.815,0.988654
12,0.006075,99.256,98.603,0.966019,0.915,0.991546
13,0.004561,99.377,98.553,0.964848,0.855,0.991518
14,0.007688,98.895,98.653,0.966292,0.57,0.993287
15,0.009329,98.945,97.904,0.949881,0.945,0.981663
16,0.005295,99.216,97.904,0.949398,0.81,0.989966
17,0.005407,99.297,98.204,0.956416,0.845,0.984637
18,0.005288,99.256,98.303,0.958937,0.945,0.993576
19,0.003242,99.588,98.453,0.961963,0.91,0.988568
20,0.004662,99.347,98.303,0.958838,0.92,0.987846
21,0.003082,99.538,98.553,0.964591,0.825,0.980511
22,0.002946,99.588,98.752,0.969098,0.905,0.992176
23,0.001505,99.739,98.703,0.96837,0.685,0.993043
24,0.00126,99.779,98.802,0.970516,0.91,0.992571
25,0.000726,99.829,98.852,0.97157,0.945,0.993245
26,0.002647,99.638,98.653,0.967193,0.45,0.990027
27,0.002882,99.628,98.403,0.961165,0.705,0.988298
28,0.004084,99.487,97.705,0.945107,0.945,0.991652
29,0.00325,99.578,98.154,0.95526,0.34,0.966976
30,0.003054,99.588,98.553,0.964763,0.725,0.991573
31,0.001837,99.759,98.703,0.968215,0.93,0.985
32,0.001465,99.799,98.503,0.963325,0.89,0.988198
33,0.001833,99.719,98.752,0.969623,0.17,0.990255
34,0.001033,99.809,98.603,0.965937,0.745,0.993536
35,0.000901,99.879,98.752,0.969697,0.54,0.99523
36,0.000946,99.869,98.802,0.97066,0.86,0.994788
37,0.000429,99.91,98.852,0.97171,0.93,0.995683
38,0.00067,99.9,99.002,0.975369,0.95,0.995712
39,0.000681,99.9,98.752,0.969325,0.905,0.995593
40,0.000537,99.9,98.752,0.969325,0.9,0.995935
41,0.001108,99.799,98.603,0.965602,0.9,0.994199
42,0.003932,99.528,98.004,0.952267,0.875,0.988801
43,0.003024,99.447,98.104,0.954436,0.915,0.98523
44,0.001357,99.789,98.353,0.959805,0.335,0.985462
45,0.001684,99.759,98.653,0.967193,0.95,0.993101
46,0.00058,99.889,98.752,0.969697,0.685,0.992576
47,0.001072,99.879,98.453,0.962424,0.875,0.961807
48,0.000759,99.849,98.752,0.969475,0.35,0.994508
49,0.000464,99.92,98.902,0.973039,0.86,0.993042
50,0.000893,99.91,98.852,0.971917,0.795,0.996169
51,0.000781,99.92,98.952,0.974233,0.89,0.995804
52,0.000385,99.97,98.902,0.973039,0.89,0.995553
53,0.000596,99.92,99.002,0.975369,0.95,0.992354
54,0.000526,99.95,98.952,0.974106,0.94,0.995307
55,0.00049,99.96,99.002,0.975309,0.945,0.995038
56,0.000405,99.91,98.653,0.967113,0.95,0.991288
57,0.000909,99.859,98.553,0.964591,0.95,0.99494
58,0.000874,99.92,99.002,0.97549,0.755,0.992935
59,0.000215,99.97,98.852,0.97164,0.945,0.992743
60,0.000164,99.97,98.752,0.969697,0.745,0.995719
61,0.004983,99.608,99.051,0.97697,0.945,0.996473
62,0.003372,99.739,99.201,0.980535,0.85,0.996688
63,0.003294,99.769,99.301,0.982927,0.945,0.993554
64,0.003366,99.789,99.201,0.980535,0.9,0.995902
65,0.001954,99.809,99.251,0.98173,0.915,0.997339
66,0.003159,99.749,99.301,0.982927,0.94,0.99342
67,0.001671,99.849,99.301,0.982927,0.935,0.995478
68,0.002169,99.774,99.058,0.981096,0.935,0.995965
69,0.00272,99.727,99.105,0.982025,0.95,0.99372
70,0.002282,99.755,99.058,0.981096,0.925,0.997033
71,0.002587,99.784,99.058,0.981132,0.865,0.99706
72,0.002042,99.802,99.105,0.982059,0.9,0.997228
73,0.002089,99.765,99.105,0.98216,0.92,0.996546
74,0.001954,99.802,99.153,0.983083,0.935,0.994462
75,0.001636,99.821,99.2,0.984008,0.825,0.998022
76,0.002225,99.793,99.153,0.983051,0.94,0.997528
77,0.001062,99.859,99.105,0.982126,0.94,0.99539
78,0.000931,99.887,99.153,0.983051,0.93,0.996306
79,0.001686,99.831,99.2,0.983977,0.935,0.997953
80,0.001643,99.821,99.153,0.983051,0.95,0.995421
81,0.001102,99.906,99.153,0.983051,0.885,0.998
82,0.000676,99.878,99.2,0.984008,0.85,0.998283
83,0.00164,99.906,99.153,0.983083,0.945,0.994059
84,0.000714,99.887,99.105,0.982126,0.95,0.997854
85,0.000703,99.915,99.2,0.984038,0.93,0.997094
86,0.000753,99.906,99.2,0.984038,0.83,0.996702
87,0.000719,99.915,99.2,0.983977,0.95,0.997656
88,0.000707,99.915,99.2,0.984008,0.95,0.997443
