epoch,tr_loss,val_loss,mae_az,mae_dist,mae_ht
1,3.123185,3.095635,89.508,7.2495,9.7876
2,3.035963,3.026882,88.9041,4.9348,8.4758
3,3.010665,3.037958,89.9315,4.8732,7.0084
4,3.011791,3.045308,90.5567,4.8336,5.6081
5,2.985377,3.06045,90.9255,4.7983,5.9763
6,2.712615,1.75399,58.0402,5.0046,4.6334
7,2.786961,2.481398,76.3314,5.2846,5.6294
8,2.759959,1.585742,55.1223,5.206,4.4828
9,2.743659,1.167427,44.0344,4.4544,4.792
10,2.891677,0.98474,37.2945,5.3912,4.5524
11,2.77433,1.039877,40.1585,4.3608,4.7604
12,2.645691,0.949185,38.7822,4.153,4.7327
13,2.657228,1.248111,44.4347,4.1676,4.6181
14,2.546185,0.744924,32.7834,4.2255,4.9494
15,2.50129,0.837178,34.6964,4.2017,4.8194
16,2.519889,0.800257,33.3516,4.1437,4.8233
17,2.508535,0.888419,34.4033,4.2654,4.7071
18,2.520857,0.759972,32.3993,4.5928,4.7162
19,2.465433,0.779383,34.3435,4.2434,4.6285
20,2.563791,0.765459,34.213,4.9967,4.3912
21,2.388282,0.572626,28.3816,4.7606,4.5608
22,2.378877,1.064298,41.5215,4.4812,5.0205
23,2.383162,1.070324,42.694,4.8017,4.4778
24,2.332255,0.814743,34.6718,5.1558,4.7432
25,2.385787,1.242076,46.2209,4.6486,4.6225
26,2.385699,0.897314,35.5499,4.3477,4.9575
27,2.254631,0.639471,29.3314,4.491,4.5155
28,2.229788,0.603102,28.0896,4.2068,4.5333
29,2.184367,0.655219,30.6756,4.3947,4.4627
30,2.108055,0.572646,27.0073,4.4869,4.4579
31,2.137239,0.60002,28.1492,4.5076,4.4924
32,2.09022,0.588313,27.5439,4.6572,4.4753
33,2.098455,0.538264,26.2764,4.4834,4.5266
34,2.044415,0.552757,27.5128,4.4613,4.5618
35,2.146915,0.643925,29.8139,4.712,4.7139
36,2.077252,0.565709,27.8541,4.3574,4.7646
37,2.056449,0.702235,30.2561,4.3962,4.7189
38,2.13528,0.804417,34.7013,4.5422,4.6626
39,2.128676,0.618553,28.6722,4.4615,4.7088
40,2.059334,0.610696,27.1812,4.8115,5.1243
41,2.099534,0.58608,27.9142,4.8914,4.5265
42,2.161309,0.786287,32.6252,5.0385,5.2768
43,2.07143,0.567583,27.2092,5.1538,4.875
44,1.981409,0.472706,24.058,5.1744,4.7563
45,2.007152,0.386077,20.8502,5.083,4.7775
46,1.876188,0.343482,18.8367,4.8593,4.7798
47,2.012615,0.365036,20.0863,5.0188,4.8124
48,1.936208,0.355007,19.5645,4.8853,4.883
49,2.022779,0.392556,21.3481,5.1556,4.8361
50,2.014996,0.333876,19.1133,4.9948,4.8311
