epoch,tr_loss,val_loss,mae_az,mae_dist,mae_ht
1,3.075804,3.05563,92.0201,5.1762,17.3505
2,2.976196,2.962383,89.8894,18.7293,16.4635
3,2.918579,3.029044,89.8967,20.6241,9.0408
4,2.954351,3.0943,90.4176,33.887,8.9637
5,2.979435,2.862631,85.5853,27.9586,11.294
6,2.957018,2.516113,75.2285,24.1281,11.9954
7,2.979451,3.284312,96.0967,28.763,5.5495
8,2.96147,3.348852,95.6709,38.6547,16.2789
9,2.992127,3.181852,94.0358,20.6221,7.539
10,2.928557,3.058423,90.835,25.3477,5.4816
11,2.966071,3.040711,89.7982,29.0083,5.4773
12,2.913481,3.020181,89.9192,23.0058,4.7998
13,3.007901,2.8134,85.1797,22.3678,4.7322
14,2.98108,2.754365,83.8735,24.8411,4.5449
15,2.95352,2.73624,83.4562,25.681,5.3844
16,2.919322,2.721058,82.9224,25.7956,5.5919
17,2.908026,2.723883,82.9691,25.813,6.0592
18,2.920879,2.682777,81.8702,25.4157,6.0145
19,2.910004,2.671918,82.0726,24.1482,6.7658
20,2.945843,2.793982,84.0568,27.3471,7.5976
21,2.931814,2.879007,86.1129,26.0257,13.9225
22,2.994435,2.807963,84.5949,22.8032,14.2691
23,2.909149,2.455591,75.2327,20.5834,12.1237
24,2.895075,3.09162,92.0703,21.5294,11.6034
25,2.915392,2.874623,88.0019,19.4139,8.858
26,2.918403,2.330435,72.4886,16.9906,11.2967
27,2.90161,2.634431,79.6458,17.6636,7.2919
28,2.888917,2.934927,86.6703,21.5006,5.8753
