seg,filename,t_start,detected,probability,cnn_probability,heuristic_probability,rms_db,n_drones,azimuth_deg,distance_m,height_m,confidence_radius
1,seg_005_hover_val_ch0.wav,15.0,True,0.6969,0.7299,0.5652,-43.22,1,-137.62,14.62,11.33,nan
2,seg_005_hover_val_ch1.wav,15.0,True,0.6279,0.6403,0.5781,-41.44,1,-139.41,14.36,10.74,nan
3,seg_005_hover_val_ch2.wav,15.0,True,0.784,0.7633,0.6169,-42.92,1,-135.03,14.82,11.24,nan
4,seg_006_hover_val_ch0.wav,18.0,True,0.1586,0.0961,0.4088,-40.93,1,-112.89,13.02,12.19,nan
5,seg_006_hover_val_ch1.wav,18.0,True,0.1617,0.0946,0.43,-38.96,1,-122.41,13.89,12.88,nan
6,seg_006_hover_val_ch2.wav,18.0,True,0.5559,0.5323,0.6505,-40.79,1,-120.78,13.77,12.79,nan
7,seg_007_transit_train_ch0.wav,21.0,True,0.9731,0.9862,0.6707,-41.79,1,-134.76,13.71,12.87,nan
8,seg_007_transit_train_ch1.wav,21.0,True,0.953,0.9582,0.6822,-39.7,1,-137.13,13.61,12.82,nan
9,seg_007_transit_train_ch2.wav,21.0,True,0.9574,0.9617,0.6903,-41.68,1,-134.71,13.76,12.9,nan
10,seg_008_transit_train_ch0.wav,24.0,True,0.9739,0.9882,0.6667,-37.78,1,-131.54,14.26,13.05,nan
11,seg_008_transit_train_ch1.wav,24.0,True,0.8834,0.8792,0.6501,-39.56,1,-129.32,13.85,12.97,nan
12,seg_008_transit_train_ch2.wav,24.0,True,0.7041,0.6555,0.6486,-41.61,1,-128.92,13.89,13.0,nan
13,seg_010_diagonal_train_ch0.wav,30.0,True,0.9838,0.9559,0.8453,-27.38,1,-141.66,13.58,12.77,nan
14,seg_010_diagonal_train_ch1.wav,30.0,True,1.0,0.9892,0.8573,-27.13,1,-140.24,13.77,12.7,nan
15,seg_010_diagonal_train_ch2.wav,30.0,True,0.9608,0.9518,0.7467,-42.27,1,-144.58,13.64,12.79,nan
16,seg_011_diagonal_train_ch0.wav,33.0,True,0.7365,0.6407,0.8698,-27.54,1,-166.75,13.61,12.98,nan
17,seg_011_diagonal_train_ch1.wav,33.0,True,0.7656,0.6744,0.8803,-25.48,1,-168.17,13.57,12.95,nan
18,seg_011_diagonal_train_ch2.wav,33.0,True,0.7208,0.6207,0.8711,-27.42,1,-168.58,13.69,12.95,nan
19,seg_036_circle_test_ch0.wav,108.0,True,0.2419,0.0865,0.8634,-23.21,1,-173.51,13.82,12.33,nan
20,seg_036_circle_test_ch1.wav,108.0,True,0.4354,0.33,0.8568,-23.51,1,-173.31,13.86,12.1,nan
21,seg_036_circle_test_ch2.wav,108.0,True,0.2924,0.1492,0.8651,-23.28,1,-174.75,13.86,12.18,nan
22,seg_037_circle_test_ch0.wav,111.0,True,0.9528,0.905,0.894,-21.98,1,-161.3,13.37,12.92,nan
23,seg_037_circle_test_ch1.wav,111.0,True,0.4753,0.3707,0.8938,-22.19,1,-162.79,13.44,12.95,nan
24,seg_037_circle_test_ch2.wav,111.0,True,0.8368,0.76,0.894,-22.01,1,-162.3,13.42,12.94,nan
25,seg_038_circle_test_ch0.wav,114.0,True,0.2664,0.1139,0.8765,-22.87,1,-161.84,14.19,12.53,nan
26,seg_038_circle_test_ch1.wav,114.0,True,0.2569,0.1017,0.8778,-23.24,1,-163.14,14.19,12.52,nan
27,seg_038_circle_test_ch2.wav,114.0,True,0.7816,0.6978,0.8668,-22.91,1,-161.33,14.23,12.5,nan
